id;kurz;lang;gueltig_ab;gueltig_bis
-9;fehlt;Merkmal vergessen, nicht rekonstruierbar oder unbekannt;01.01.1989;
-2;nicht ausgeprägt;Merkmal nicht ausgeprägt/nicht vorhanden;01.01.1989;01.01.2006
-1;nicht erhoben;Merkmal nicht erhoben;01.01.1989;
1;Fi-Rein;Fichten(rein)bestand (>= 70 % Fichte);01.01.1989;
2;Ki-Rein;Kiefern(rein)bestand (>= 70 % Kiefer);01.01.1989;
3;sonst-Nd;sonstige Nadelbaumart (>= 70 % sonstiges Nadelholz);01.01.1989;
4;Bu-Rein;Buchen(rein)bestand (>= 70 % Buche);01.01.1989;
5;Ei-Rein;Eichen(rein)bestand (>= 70 % Eiche);01.01.1989;
6;Nd-Lb-Misch;Laubholzreiche Nadelmischbestände (> 30 % Laubholz);01.01.1989;
7;Lb-Nd-Misch;Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz);01.01.1989;
8;sonst-Lb;sonstige Laubbaumart (>= 70 % sonstiges Laubholz);01.01.1989;
9;Nb-Lb<30;Nadelholzmischbestand (< 30 % Laubholz);01.01.2022;
10;Lb-NB<30;Laubholzmischbestand (< 30 % Nadelholz);01.01.2022;
11;abgeleitet;wird aus den Einzelbaumdaten abgeleitet;01.01.2022;
91;Lb;Laubbestand (nicht näher spezifizierbar);01.01.2006;01.01.2006
92;Nb;Nadelbestand (nicht näher spezifizierbar);01.01.2006;01.01.2006
99;Unbekannt;Unbekannter Bestandestyp;01.01.2022;
